epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5851817727088928,0.6146319508552551,0.8089754581451416,0.586556613445282,0.5811258554458618,0.5779626965522766,0.6916813254356384,0.8471468091011047,0.7302162647247314,0.23982033133506775
0,0.5857323408126831,0.6138635277748108,0.8179188370704651,0.5871371030807495,0.5815304517745972,0.575303316116333,0.6912943124771118,0.84262615442276,0.72601318359375,0.2342839241027832
0,0.5813615322113037,0.6099550127983093,0.816428005695343,0.5827237367630005,0.5772045850753784,0.5716155767440796,0.6753870844841003,0.8938477635383606,0.7206205725669861,0.2261151224374771
1,0.6327829957008362,0.6817438006401062,0.6735342144966125,0.6324538588523865,0.6364494562149048,0.5697768926620483,0.691531240940094,1.0045256614685059,0.7786899209022522,0.18825864791870117
2,0.6670873761177063,0.7279393672943115,0.6163123846054077,0.6641194820404053,0.6779914498329163,0.5898154973983765,0.7159965634346008,1.0109171867370605,0.7944753170013428,0.2361433207988739
3,0.6897518038749695,0.7560542225837708,0.5878717303276062,0.6870774626731873,0.6984745264053345,0.6016267538070679,0.7322466373443604,1.0016356706619263,0.8029801249504089,0.2634492814540863
4,0.7032175064086914,0.7721244096755981,0.5717031359672546,0.7020005583763123,0.7076553702354431,0.6031434535980225,0.7374491691589355,1.0332406759262085,0.8079423904418945,0.2648072838783264
5,0.7120292782783508,0.7831599116325378,0.5601340532302856,0.71101975440979,0.7157624959945679,0.6147677302360535,0.7514541149139404,0.9866257905960083,0.8123298287391663,0.29290714859962463
6,0.7176960110664368,0.7906773090362549,0.5517688393592834,0.7168176770210266,0.7210116386413574,0.613583505153656,0.7514333128929138,1.0460885763168335,0.8139384388923645,0.288895845413208
7,0.7225005626678467,0.7975452542304993,0.5440366864204407,0.7206681966781616,0.7279050350189209,0.619587779045105,0.7636656165122986,1.0030927658081055,0.8191519379615784,0.3014937937259674
8,0.727393388748169,0.8022942543029785,0.5386627912521362,0.7248682379722595,0.7342227101325989,0.6068416237831116,0.7603636980056763,1.1079257726669312,0.8264042735099792,0.26495352387428284
9,0.731566846370697,0.8068218231201172,0.5332762002944946,0.7283059358596802,0.7398920059204102,0.6111422777175903,0.7670361399650574,1.1176778078079224,0.8301265835762024,0.2740206718444824
10,0.7336210608482361,0.810913622379303,0.5283655524253845,0.7297914028167725,0.743123471736908,0.6072674989700317,0.768568754196167,1.151645541191101,0.8323531150817871,0.26315680146217346
11,0.7373348474502563,0.8146880865097046,0.5238232016563416,0.7327908277511597,0.7482377290725708,0.6099372506141663,0.7730241417884827,1.1550910472869873,0.8369920253753662,0.2676486074924469
12,0.7394021153450012,0.817367434501648,0.520406186580658,0.7343815565109253,0.7512409687042236,0.6025617122650146,0.7721489071846008,1.2325822114944458,0.8436605334281921,0.24633866548538208
13,0.7419887781143188,0.8204543590545654,0.5164842009544373,0.736527681350708,0.7546435594558716,0.6053768992424011,0.7747381925582886,1.2283241748809814,0.8459544777870178,0.2522929012775421
14,0.7451233863830566,0.8235896229743958,0.5128293037414551,0.7393150925636292,0.7583470344543457,0.6075895428657532,0.778624951839447,1.2217193841934204,0.8489900231361389,0.2564086616039276
15,0.7469361424446106,0.8264196515083313,0.5092311501502991,0.7405641078948975,0.7612568736076355,0.6013878583908081,0.7782008051872253,1.3055071830749512,0.8583616614341736,0.2375221997499466
16,0.7488787174224854,0.8290536403656006,0.5059216618537903,0.7423925995826721,0.7633212804794312,0.6044211983680725,0.7788265943527222,1.3056985139846802,0.8574037551879883,0.24521048367023468
17,0.7507226467132568,0.8316207528114319,0.5022969841957092,0.7440283298492432,0.765489399433136,0.6098333597183228,0.7850351333618164,1.2772762775421143,0.8633991479873657,0.255781888961792
18,0.7537299990653992,0.8347600102424622,0.4984862208366394,0.7471043467521667,0.7681658864021301,0.6026240587234497,0.7798481583595276,1.3506762981414795,0.8663668036460876,0.2374386340379715
19,0.7547999620437622,0.8363504409790039,0.49632054567337036,0.7477985620498657,0.7699501514434814,0.602759063243866,0.7833575010299683,1.371835708618164,0.8726287484169006,0.23545387387275696
20,0.7570646405220032,0.8388333320617676,0.49311473965644836,0.7504087090492249,0.7713609933853149,0.6114227771759033,0.7882999181747437,1.3139537572860718,0.8747939467430115,0.25500887632369995
21,0.7593733668327332,0.8409420251846313,0.49016425013542175,0.7523346543312073,0.7743123173713684,0.613656222820282,0.7891921401023865,1.3127942085266113,0.8748419880867004,0.2602319121360779
22,0.761292576789856,0.8434699177742004,0.48662397265434265,0.7540726065635681,0.776480495929718,0.6111111044883728,0.7873276472091675,1.3534398078918457,0.8764710426330566,0.25363001227378845
23,0.763339102268219,0.8457125425338745,0.48377272486686707,0.7558021545410156,0.779037594795227,0.6097502708435059,0.78669273853302,1.384667158126831,0.8801683187484741,0.24905462563037872
24,0.7643493413925171,0.8475557565689087,0.48107585310935974,0.757002055644989,0.7796030044555664,0.6167830228805542,0.7936385869979858,1.3232117891311646,0.883232057094574,0.26422229409217834
25,0.7669100165367126,0.8497582077980042,0.47823193669319153,0.7593335509300232,0.7824609875679016,0.6145495772361755,0.7882786989212036,1.3827632665634155,0.8859951496124268,0.25799643993377686
26,0.7694603204727173,0.8523887395858765,0.474322646856308,0.7617892622947693,0.7850388884544373,0.6197643876075745,0.7916826605796814,1.3534926176071167,0.8848414421081543,0.2704899311065674
27,0.7705017328262329,0.8542981743812561,0.4716978371143341,0.7632369995117188,0.7852204442024231,0.620938241481781,0.795663058757782,1.3545640707015991,0.8870363831520081,0.2723284363746643
