epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,451.4068908691406,66557.1796875,66105.7734375,434.7148132324219,85044.1015625,84609.390625
0,371.6841125488281,89927.3515625,89555.6640625,430.2585754394531,107634.7109375,107204.453125
1,204.27719116210938,93361.7734375,93157.5,248.363525390625,107181.375,106933.0078125
2,145.61685180664062,95687.71875,95542.1015625,193.84063720703125,107081.796875,106887.953125
3,122.6231918334961,93027.015625,92904.390625,131.56365966796875,106983.9765625,106852.4140625
4,48.291263580322266,93350.0703125,93301.78125,60.27234649658203,106804.328125,106744.0546875
5,43.1748046875,86957.3984375,86914.2265625,42.04025650024414,106711.96875,106669.9296875
6,60.44972610473633,86603.703125,86543.25,38.85580062866211,106208.1796875,106169.3203125
7,48.94983673095703,85588.5390625,85539.5859375,35.423362731933594,105741.484375,105706.0625
8,36.72947692871094,88405.09375,88368.3671875,35.142539978027344,105621.859375,105586.71875
9,44.96469497680664,92206.9296875,92161.96875,36.26679229736328,105516.5625,105480.296875
10,46.12833023071289,82553.65625,82507.53125,33.94578170776367,105456.1875,105422.2421875
11,42.77259063720703,84036.7421875,83993.96875,33.40973663330078,105403.9375,105370.53125
12,37.45415115356445,90452.171875,90414.71875,32.57276153564453,105365.8984375,105333.328125
13,32.22636032104492,90939.9296875,90907.703125,31.82577133178711,105332.546875,105300.71875
14,37.57615280151367,97024.7109375,96987.1328125,31.57071304321289,105302.78125,105271.2109375
15,35.3807373046875,94683.8828125,94648.5,31.08584213256836,105264.5234375,105233.4375
16,30.458925247192383,95650.953125,95620.4921875,31.086811065673828,105223.6953125,105192.609375
17,36.05845260620117,91525.125,91489.0703125,31.370189666748047,105176.96875,105145.6015625
18,36.27642059326172,87925.40625,87889.1328125,32.038631439208984,105130.5,105098.4609375
19,36.889060974121094,83091.5703125,83054.6796875,31.816797256469727,105088.8828125,105057.0625
20,30.61458969116211,82291.8984375,82261.28125,31.837738037109375,105047.6796875,105015.84375
21,35.942081451416016,92841.8515625,92805.90625,31.451202392578125,105002.3671875,104970.9140625
22,36.77303695678711,83877.0078125,83840.234375,31.404165267944336,104961.125,104929.71875
23,37.47826385498047,80251.578125,80214.1015625,31.1098690032959,104932.4375,104901.328125
24,29.589628219604492,86312.703125,86283.1171875,30.589000701904297,104904.5234375,104873.9375
25,30.630151748657227,95406.5078125,95375.875,30.34473991394043,104858.921875,104828.578125
26,32.22425842285156,96181.2734375,96149.046875,30.511201858520508,104822.1484375,104791.640625
27,34.669677734375,86511.5703125,86476.8984375,30.50067710876465,104788.4375,104757.9375
28,33.17250442504883,91456.5546875,91423.3828125,30.55942726135254,104759.0234375,104728.4609375
29,29.871461868286133,84350.4765625,84320.6015625,30.607654571533203,104734.734375,104704.125
30,31.65111541748047,80654.5546875,80622.90625,30.589590072631836,104712.171875,104681.5859375
31,40.29039764404297,79122.7578125,79082.46875,30.854562759399414,104677.3515625,104646.5
32,33.24014663696289,82233.859375,82200.6171875,31.027271270751953,104647.0859375,104616.0625
33,28.090770721435547,86082.6328125,86054.5390625,31.144290924072266,104621.59375,104590.453125
34,31.766246795654297,93276.1953125,93244.4296875,31.300640106201172,104598.71875,104567.421875
35,31.8407039642334,89099.921875,89068.078125,31.30487060546875,104574.5703125,104543.265625
36,37.9947509765625,82993.921875,82955.9296875,31.155603408813477,104554.359375,104523.203125
37,30.09817886352539,87250.09375,87219.9921875,31.156225204467773,104531.5625,104500.40625
38,29.358684539794922,83547.6796875,83518.3203125,31.17943000793457,104511.796875,104480.6171875
39,34.44804763793945,86587.421875,86552.9765625,31.225194931030273,104490.3203125,104459.09375
40,29.230295181274414,81444.296875,81415.0703125,31.245058059692383,104472.78125,104441.5390625
41,30.34566307067871,89561.609375,89531.265625,31.308738708496094,104452.9375,104421.625
42,30.165266036987305,79393.859375,79363.6953125,31.31688117980957,104433.8046875,104402.484375
43,30.735746383666992,87335.4140625,87304.6796875,31.52442169189453,104408.90625,104377.3828125
44,32.635074615478516,97924.5859375,97891.953125,31.788455963134766,104382.140625,104350.3515625
45,30.79854965209961,80611.546875,80580.75,31.750511169433594,104361.4375,104329.6875
46,30.6962890625,84932.6796875,84901.984375,31.67547607421875,104343.3984375,104311.7265625
47,29.008602142333984,82165.25,82136.2421875,31.581817626953125,104323.4375,104291.859375
48,33.8513298034668,88107.1484375,88073.296875,31.595111846923828,104299.2890625,104267.6953125
49,30.370927810668945,91278.21875,91247.8515625,31.670093536376953,104276.296875,104244.625
50,34.0028190612793,89980.953125,89946.953125,31.53386688232422,104259.125,104227.59375
51,27.910755157470703,80044.6171875,80016.703125,31.527973175048828,104242.890625,104211.359375
52,32.84544372558594,90856.328125,90823.484375,31.6317081451416,104219.40625,104187.7734375
53,34.69009017944336,85857.90625,85823.21875,31.59921646118164,104201.359375,104169.7578125
54,35.98134994506836,86082.1640625,86046.1796875,31.5899600982666,104186.8203125,104155.2265625
55,30.4682559967041,85277.8515625,85247.3828125,31.553499221801758,104168.4609375,104136.90625
56,31.809354782104492,93062.9921875,93031.1796875,31.591787338256836,104154.8671875,104123.2734375
57,28.175762176513672,76930.8515625,76902.6796875,31.477922439575195,104139.1328125,104107.65625
58,30.94881248474121,97648.7421875,97617.796875,31.561603546142578,104123.8125,104092.25
59,31.5588321685791,88881.0546875,88849.4921875,31.558956146240234,104100.2578125,104068.6953125
60,28.939699172973633,87723.171875,87694.234375,31.54230308532715,104084.8125,104053.2734375
61,32.39448165893555,87670.8671875,87638.4765625,31.5792236328125,104069.53125,104037.953125
