epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,7.613580692122923e-06,1.4919919967651367,1.4919843673706055,1.4499431017611641e-05,1.9640637636184692,1.964049220085144
1,1.4173034287523478e-05,1.0068161487579346,1.006801962852478,1.4919399291102309e-05,1.9712722301483154,1.9712573289871216
2,6.908553041284904e-05,1.0965511798858643,1.0964820384979248,3.757044396479614e-05,1.9813169240951538,1.9812793731689453
3,0.0002052754134638235,1.307308554649353,1.3071032762527466,9.63675556704402e-05,1.969505786895752,1.969409465789795
4,0.0006450536893680692,0.7751602530479431,0.7745152115821838,0.000272613629931584,1.8823692798614502,1.8820966482162476
5,0.0013113049790263176,0.7458056807518005,0.7444943785667419,0.0007179486565291882,1.670609474182129,1.6698914766311646
6,0.0019116909243166447,0.7418463230133057,0.7399346232414246,0.001588112092576921,1.4792330265045166,1.477644920349121
7,0.0016931587597355247,0.7942277789115906,0.7925346493721008,0.0019098380580544472,1.3778581619262695,1.3759483098983765
8,0.0007756323320791125,0.8710604906082153,0.8702848553657532,0.0011274144053459167,1.323028802871704,1.3219014406204224
9,0.0002537633408792317,0.6257798671722412,0.6255261301994324,0.00037743253051303327,1.325208306312561,1.3248308897018433
10,8.959513070294634e-05,0.5004186034202576,0.5003290176391602,0.00016617406799923629,1.3175419569015503,1.3173757791519165
11,4.160271055297926e-05,0.6958112716674805,0.6957696676254272,0.00010123942047357559,1.3078538179397583,1.3077526092529297
12,1.6358690118067898e-05,0.6592950224876404,0.6592786908149719,6.334743375191465e-05,1.298384189605713,1.2983208894729614
13,7.655974513909314e-06,0.6508644223213196,0.6508567929267883,4.549925870378502e-05,1.2870116233825684,1.28696608543396
14,3.5733078220800962e-06,0.807487964630127,0.8074843883514404,3.199756611138582e-05,1.284831166267395,1.2847992181777954
15,2.8646643386309734e-06,0.6347420811653137,0.6347392201423645,2.5760868084034882e-05,1.2709916830062866,1.2709659337997437
16,2.8265267246752046e-06,0.5846861600875854,0.584683358669281,1.9367356799193658e-05,1.2720683813095093,1.272049069404602
17,2.10242342291167e-06,0.48889654874801636,0.48889443278312683,1.730550684442278e-05,1.2742339372634888,1.274216651916504
18,1.8879864001064561e-06,0.7180862426757812,0.7180843353271484,1.4357191503222566e-05,1.273482322692871,1.273468017578125
19,1.1101551535830367e-06,0.7406423091888428,0.740641176700592,1.1757093488995451e-05,1.2767845392227173,1.2767727375030518
20,6.791297550989839e-07,0.8130246996879578,0.8130240440368652,9.463634341955185e-06,1.2802711725234985,1.280261754989624
21,1.1720601378328865e-06,0.5610913634300232,0.5610901713371277,8.581536349083763e-06,1.278198003768921,1.2781894207000732
22,3.612879595493723e-07,0.8141512274742126,0.814150869846344,8.39247786643682e-06,1.2762435674667358,1.2762352228164673
23,2.7031637728214264e-07,0.5468917489051819,0.546891450881958,7.673438631172758e-06,1.2717357873916626,1.2717281579971313
24,1.1758879026046998e-07,0.7242650389671326,0.724264919757843,6.467899311246583e-06,1.2629278898239136,1.2629214525222778
25,3.316346521842206e-07,0.5903857946395874,0.5903854370117188,5.885201971977949e-06,1.2682844400405884,1.2682785987854004
26,7.709488158980093e-08,0.5115017294883728,0.511501669883728,6.264987405302236e-06,1.2670903205871582,1.267084002494812
27,7.424503678521432e-08,0.7383472323417664,0.7383471727371216,5.330987278284738e-06,1.2719099521636963,1.2719045877456665
28,2.276059234418426e-07,0.45215263962745667,0.45215240120887756,5.06232026964426e-06,1.2659382820129395,1.2659332752227783
29,2.700742243177956e-07,0.8375754356384277,0.8375751376152039,4.955683834850788e-06,1.2586166858673096,1.2586116790771484
30,6.237998917413279e-08,0.47087061405181885,0.4708705544471741,4.060546871187398e-06,1.265819787979126,1.2658157348632812
31,4.048459345540323e-08,0.5744228363037109,0.5744227766990662,3.816016487689922e-06,1.2579123973846436,1.257908582687378
32,8.893199066051238e-08,0.6398743391036987,0.639874279499054,3.6121734865446342e-06,1.2627880573272705,1.262784481048584
33,1.521315482477803e-07,0.7666345238685608,0.7666343450546265,4.210645329294493e-06,1.266570806503296,1.2665666341781616
34,8.158385611523045e-08,0.6939259767532349,0.6939259171485901,3.3750548027455807e-06,1.260515809059143,1.2605124711990356
35,1.4510005641454882e-08,0.7202854156494141,0.7202854156494141,3.0502753816108452e-06,1.255867600440979,1.2558645009994507
36,2.2407620647868498e-08,0.7779796123504639,0.7779796123504639,2.9043876565992832e-06,1.2664110660552979,1.2664082050323486
37,5.240552169993862e-08,0.7096013426780701,0.7096012830734253,3.089332722083782e-06,1.2604832649230957,1.2604801654815674
38,2.8619542291608013e-08,0.5628303289413452,0.5628303289413452,3.020259782715584e-06,1.2623467445373535,1.2623437643051147
39,4.411674936477539e-08,0.7114890813827515,0.7114890217781067,2.909859176725149e-06,1.262115478515625,1.2621126174926758
40,7.031485615982547e-09,0.48393428325653076,0.48393428325653076,2.2475917376141297e-06,1.2555866241455078,1.2555843591690063
41,4.3027101881421e-09,0.550600528717041,0.550600528717041,2.54408223554492e-06,1.2592449188232422,1.2592424154281616
42,6.090849602458093e-09,0.6618574261665344,0.6618574261665344,2.5538222416798817e-06,1.259153127670288,1.2591506242752075
43,2.6440247324899246e-08,0.6363832950592041,0.6363832950592041,2.6209552288491977e-06,1.2605719566345215,1.2605693340301514
44,8.363277004264091e-08,0.5993579030036926,0.5993578433990479,1.8121596667697304e-06,1.2604105472564697,1.2604087591171265
45,1.3988465497050129e-08,0.5545434355735779,0.5545434355735779,1.485168468207121e-06,1.2613186836242676,1.261317253112793
46,1.5348195603337444e-08,0.5341406464576721,0.5341406464576721,1.4451798051595688e-06,1.2621108293533325,1.262109398841858
47,5.867332397713199e-09,0.607740044593811,0.607740044593811,1.6418052837252617e-06,1.2552037239074707,1.255202054977417
48,1.1175871339474952e-09,0.636494517326355,0.636494517326355,1.3252138160169125e-06,1.2647932767868042,1.2647919654846191
49,3.3807010524355974e-09,0.8105155825614929,0.8105155825614929,1.3586055729319924e-06,1.2619571685791016,1.2619558572769165
50,-0.0,0.6159824132919312,0.6159824132919312,9.611054565539234e-07,1.2569513320922852,1.2569503784179688
51,1.5301630185149406e-08,0.6492168307304382,0.6492168307304382,1.710878336780297e-06,1.2588860988616943,1.2588844299316406
52,4.8363581583998894e-08,0.6102436184883118,0.610243558883667,2.3913842142064823e-06,1.2550779581069946,1.2550755739212036
53,1.3075768912074182e-08,0.5367580056190491,0.5367580056190491,2.059910912066698e-06,1.2551822662353516,1.2551802396774292
54,1.274049310495684e-08,0.5999582409858704,0.5999582409858704,2.0746181235153927e-06,1.2576388120651245,1.2576367855072021
55,6.8359078397861595e-09,0.6766893267631531,0.6766893267631531,1.477116370551812e-06,1.2516862154006958,1.2516847848892212
56,8.847564347824743e-10,0.5459824204444885,0.5459824204444885,1.5931631196508533e-06,1.256537914276123,1.2565363645553589
57,4.0242447596483544e-08,0.5882871150970459,0.5882870554924011,1.2764357961714268e-06,1.2549054622650146,1.2549041509628296
58,1.9101426218526285e-08,0.7674012184143066,0.7674012184143066,1.4065493587622768e-06,1.2605465650558472,1.2605451345443726
59,3.10130410241527e-09,0.6631039381027222,0.6631039381027222,1.7331913113594055e-06,1.250483751296997,1.2504819631576538
60,5.4202974553163585e-08,0.7014280557632446,0.7014279961585999,1.4926190488040447e-06,1.2527053356170654,1.2527037858963013
61,6.891787140972383e-10,0.6328704953193665,0.6328704953193665,1.4447529110839241e-06,1.2540098428726196,1.254008412361145
62,6.51925802230835e-08,0.6490152478218079,0.6490151882171631,1.5972569826772087e-06,1.2601265907287598,1.2601250410079956
63,4.246830886955877e-09,0.5631849765777588,0.5631849765777588,1.3316360991666443e-06,1.2533438205718994,1.2533425092697144
64,7.031485615982547e-09,0.5223272442817688,0.5223272442817688,2.0243460312485695e-06,1.2563748359680176,1.2563728094100952
65,7.450580430390374e-11,0.5463230609893799,0.5463230609893799,1.7884109411170357e-06,1.2559053897857666,1.2559036016464233
66,1.927837667281551e-09,0.8233680129051208,0.8233680129051208,1.6962682138910168e-06,1.2621210813522339,1.2621194124221802
67,1.9185244504171806e-09,0.45367923378944397,0.45367923378944397,1.7273899857173092e-06,1.2573349475860596,1.2573332786560059
68,1.8626451075975936e-11,0.695722758769989,0.695722758769989,1.4238952417144901e-06,1.2525842189788818,1.2525827884674072
69,-0.0,0.6065258979797363,0.6065258979797363,1.1888332664966583e-06,1.253738522529602,1.2537373304367065
70,7.225200704397139e-08,0.6412736177444458,0.641273558139801,1.6060075722634792e-06,1.2546372413635254,1.2546356916427612
71,-0.0,0.8144640922546387,0.8144640922546387,1.4835774209132069e-06,1.2545992136001587,1.254597783088684
72,-0.0,0.7353626489639282,0.7353626489639282,1.1116304676761501e-06,1.2554714679718018,1.2554703950881958
73,5.9604645663569045e-09,0.48971644043922424,0.48971644043922424,1.7936496305992478e-06,1.2605899572372437,1.2605881690979004
74,3.4458935704861915e-09,0.5750277638435364,0.5750277638435364,1.8264594245920307e-06,1.2516565322875977,1.2516547441482544
75,-0.0,0.5150622725486755,0.5150622725486755,1.2738552186419838e-06,1.2542489767074585,1.2542476654052734
76,1.9613652924022063e-08,0.5187602043151855,0.5187602043151855,1.316308043897152e-06,1.2584372758865356,1.2584359645843506
77,-0.0,0.7215856909751892,0.7215856909751892,1.1690621022353298e-06,1.2548091411590576,1.254807949066162
78,-0.0,0.6271286606788635,0.6271286606788635,1.3220318351159221e-06,1.2502589225769043,1.2502576112747192
79,3.3527614018424856e-10,0.5673021674156189,0.5673021674156189,1.5217616464724415e-06,1.2536835670471191,1.253682017326355
80,1.5459954427754496e-09,0.602092444896698,0.602092444896698,1.568036736898648e-06,1.2539259195327759,1.2539243698120117
81,1.8626451075975936e-11,0.7565075755119324,0.7565075755119324,1.695802552603709e-06,1.2513371706008911,1.2513355016708374
82,9.313225537987968e-12,0.5786164999008179,0.5786164999008179,1.9139454252581345e-06,1.2569960355758667,1.2569941282272339
83,9.313225537987968e-12,0.6696586608886719,0.6696586608886719,1.8738597873380058e-06,1.2483296394348145,1.2483277320861816
84,7.823109382520954e-10,0.733792781829834,0.733792781829834,1.5049978401293629e-06,1.2521142959594727,1.2521127462387085
85,4.228204453227136e-09,0.47487151622772217,0.47487151622772217,1.7840065993368626e-06,1.2517756223678589,1.2517738342285156
