epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6269223093986511,0.6696109771728516,0.7467528581619263,0.6292125582695007,0.6199936270713806,0.6429583430290222,0.762143075466156,0.6721339821815491,0.7456644773483276,0.4292687773704529
1,0.6904178261756897,0.7543368339538574,0.600699245929718,0.6940798163414001,0.6821619868278503,0.6659298539161682,0.7856962084770203,0.6498622298240662,0.7749261856079102,0.4636593461036682
2,0.7182285785675049,0.7912281155586243,0.5544267892837524,0.7210226058959961,0.7128862738609314,0.6920644044876099,0.8040711283683777,0.639829695224762,0.7907133102416992,0.5188019871711731
3,0.7377379536628723,0.8151766061782837,0.5263673067092896,0.7396484613418579,0.7346134781837463,0.7023716568946838,0.8125787973403931,0.6624343395233154,0.7989352345466614,0.5374444723129272
4,0.7508571743965149,0.8309446573257446,0.5072892308235168,0.7521049976348877,0.7491734623908997,0.7213497161865234,0.8280894160270691,0.6288174390792847,0.8033119440078735,0.5830696225166321
5,0.7597355842590332,0.8408865928649902,0.49414438009262085,0.7600563764572144,0.7598662972450256,0.7253309488296509,0.8287350535392761,0.6500577926635742,0.804986298084259,0.5916304588317871
6,0.765472412109375,0.8479350805282593,0.48437657952308655,0.7649559378623962,0.7671676278114319,0.7290801405906677,0.8323808908462524,0.6518683433532715,0.8028421401977539,0.6042141914367676
7,0.7708153128623962,0.8537842631340027,0.47609978914260864,0.768861711025238,0.7751460671424866,0.7357725501060486,0.8359073400497437,0.652036726474762,0.8050515055656433,0.619226336479187
8,0.7758041024208069,0.8583170175552368,0.46895918250083923,0.7725811004638672,0.7823925614356995,0.7333911657333374,0.8363275527954102,0.6679753065109253,0.807662308216095,0.6096842885017395
9,0.7794861793518066,0.8626686334609985,0.4624338746070862,0.7759803533554077,0.7864976525306702,0.7402545213699341,0.8398879170417786,0.655129611492157,0.8078891038894653,0.6274928450584412
10,0.7821667790412903,0.8666317462921143,0.4557776153087616,0.7777698040008545,0.790730893611908,0.7403766512870789,0.8410608172416687,0.6696440577507019,0.8132104277610779,0.6212132573127747
11,0.7869143486022949,0.8699995279312134,0.4503099024295807,0.7820436954498291,0.7961779236793518,0.7449196577072144,0.8413565158843994,0.6723487377166748,0.8095801472663879,0.6376235485076904
12,0.7890057563781738,0.8731861710548401,0.4448012709617615,0.7834148406982422,0.7994900345802307,0.7423550486564636,0.842505931854248,0.6912522315979004,0.8148409128189087,0.6243775486946106
13,0.792892336845398,0.8764728903770447,0.4396979510784149,0.787461519241333,0.8029425144195557,0.7460554242134094,0.8442109823226929,0.6893554925918579,0.815399706363678,0.6333063244819641
14,0.7955119013786316,0.8797638416290283,0.4339485764503479,0.7892767786979675,0.806882917881012,0.7493038773536682,0.8486767411231995,0.6747342348098755,0.8187344670295715,0.6376235485076904
15,0.7986688613891602,0.8825197815895081,0.42927658557891846,0.7926129698753357,0.8095973134040833,0.7562405467033386,0.849459171295166,0.671490490436554,0.8190181255340576,0.6551622748374939
16,0.8017982840538025,0.8855925798416138,0.42415744066238403,0.7952414751052856,0.8134706020355225,0.7515754103660583,0.8492803573608398,0.6921866536140442,0.8212589025497437,0.6403954029083252
17,0.8034653067588806,0.8881723284721375,0.41935089230537415,0.7962299585342407,0.8162398934364319,0.7561672329902649,0.8563927412033081,0.6607568264007568,0.8239930272102356,0.6488336324691772
18,0.8064848184585571,0.890360951423645,0.41550329327583313,0.7992631196975708,0.8191006779670715,0.7581334710121155,0.8575693368911743,0.6658989787101746,0.8254362344741821,0.6520960330963135
19,0.8082830905914307,0.8930701017379761,0.4106641709804535,0.8008494973182678,0.8211806416511536,0.7553612589836121,0.8557700514793396,0.6869838237762451,0.8279712796211243,0.6420143842697144
20,0.811363697052002,0.8955269455909729,0.4059895873069763,0.8038017749786377,0.8243403434753418,0.7612476348876953,0.859624445438385,0.6617754697799683,0.8246075510978699,0.6610493659973145
21,0.8134580850601196,0.8975762128829956,0.40234267711639404,0.80596923828125,0.8262190222740173,0.7660592794418335,0.8613529205322266,0.6510255932807922,0.8265191912651062,0.670934796333313
22,0.8155067563056946,0.8999927043914795,0.39783814549446106,0.8074989914894104,0.8290432095527649,0.7697596549987793,0.866370439529419,0.6357033848762512,0.8324534296989441,0.6729953289031982
23,0.8179064989089966,0.9019619822502136,0.3941941261291504,0.8100254535675049,0.8311231732368469,0.7661936283111572,0.8646150231361389,0.6523217558860779,0.8305913805961609,0.6662741899490356
24,0.8203794956207275,0.9043304324150085,0.3897092044353485,0.8119176030158997,0.8344414234161377,0.7713106274604797,0.868435263633728,0.6361612677574158,0.8340253829956055,0.6749821901321411
25,0.8223365545272827,0.906616747379303,0.3850756883621216,0.813948392868042,0.8361859917640686,0.770541250705719,0.8703581094741821,0.6442056894302368,0.8349283933639526,0.6719650626182556
26,0.8250752091407776,0.9087043404579163,0.3812360465526581,0.8168954849243164,0.83846116065979,0.768758237361908,0.8698112964630127,0.6569265723228455,0.8412529826164246,0.6600927114486694
27,0.8263055682182312,0.9102625250816345,0.3780404031276703,0.8176907896995544,0.8403398990631104,0.7756949067115784,0.8715816736221313,0.6382225155830383,0.8361949920654297,0.6833223104476929
28,0.8290839195251465,0.9121142625808716,0.3743645250797272,0.8205474019050598,0.8428651690483093,0.7807263731956482,0.876570999622345,0.6089136004447937,0.8370766639709473,0.6948021650314331
29,0.8308974504470825,0.9138886332511902,0.3708961308002472,0.8226789236068726,0.8440911769866943,0.7810438871383667,0.8768496513366699,0.6162428259849548,0.8381203413009644,0.6943115592002869
30,0.8322957754135132,0.9157856106758118,0.36702674627304077,0.8238016366958618,0.8458662033081055,0.7789433598518372,0.8762534856796265,0.6301036477088928,0.843841016292572,0.6822429895401001
31,0.8343474864959717,0.9176953434944153,0.36295610666275024,0.825631320476532,0.8481780290603638,0.7827780842781067,0.8799380660057068,0.6099464297294617,0.8428213596343994,0.6929134130477905
32,0.8375532627105713,0.9200215339660645,0.358102947473526,0.8285963535308838,0.851618230342865,0.7871867418289185,0.8827694654464722,0.5991805195808411,0.848550021648407,0.6969362497329712
33,0.8385424613952637,0.9209569692611694,0.3561209440231323,0.8304324150085449,0.851246178150177,0.7834375500679016,0.8817540407180786,0.6163835525512695,0.8498268723487854,0.6862903833389282
34,0.8409513235092163,0.92295241355896,0.3520512878894806,0.8327264785766602,0.8537348508834839,0.7849396467208862,0.8827433586120605,0.6161363124847412,0.8504706621170044,0.6892094016075134
35,0.8418184518814087,0.9240310788154602,0.34955576062202454,0.8334602117538452,0.8547717928886414,0.7899223566055298,0.8851673007011414,0.5922545194625854,0.8485843539237976,0.7035837769508362
36,0.8445020914077759,0.9261959195137024,0.3449133634567261,0.8364323973655701,0.8569067120552063,0.7902276515960693,0.8865001797676086,0.59373939037323,0.8509581089019775,0.7015233039855957
37,0.8462545871734619,0.9278297424316406,0.34139934182167053,0.8386613726615906,0.8578704595565796,0.7911069393157959,0.8868938088417053,0.5955508351325989,0.850153923034668,0.7046140432357788
38,0.8477414846420288,0.9290327429771423,0.3385787904262543,0.8397629261016846,0.8598833680152893,0.7915465831756592,0.8890343308448792,0.5908833146095276,0.8535115718841553,0.7017440795898438
39,0.8489535450935364,0.9306724071502686,0.33479905128479004,0.8409311771392822,0.8611155152320862,0.7960773706436157,0.8918417096138,0.5731804370880127,0.8535919189453125,0.7126352190971375
40,0.8511731624603271,0.931725800037384,0.3325386941432953,0.8434749245643616,0.8627685308456421,0.7918396592140198,0.8907087445259094,0.5891468524932861,0.857862651348114,0.6974513530731201
41,0.852479875087738,0.9331294298171997,0.32930439710617065,0.8446935415267944,0.8641592860221863,0.7956499457359314,0.8924291729927063,0.5862026810646057,0.8573085069656372,0.7072632312774658
42,0.855404794216156,0.9348077178001404,0.3253193497657776,0.8475370407104492,0.8670993447303772,0.7975673079490662,0.8934015035629272,0.5804985165596008,0.8581199049949646,0.7109426856040955
43,0.8565130233764648,0.9359891414642334,0.3226395845413208,0.8484799861907959,0.8684107661247253,0.7987152338027954,0.8949652910232544,0.5728316307067871,0.8602153658866882,0.7112860679626465
44,0.8574472665786743,0.9373595714569092,0.319387823343277,0.8500427007675171,0.8683924674987793,0.7996922731399536,0.8959746956825256,0.5683825612068176,0.8615307211875916,0.7121201157569885
45,0.859703540802002,0.9388246536254883,0.3159360885620117,0.8524235486984253,0.8703932166099548,0.804967999458313,0.9002830386161804,0.5453999042510986,0.8611038327217102,0.7252434492111206
46,0.8613674640655518,0.9396200776100159,0.3138731122016907,0.8541719913482666,0.8718815445899963,0.8039665818214417,0.8999483585357666,0.5513548851013184,0.8633810877799988,0.7202149033546448
47,0.8625184893608093,0.9413672685623169,0.3096603453159332,0.8554662466049194,0.8727903962135315,0.8030628561973572,0.8993539810180664,0.559270441532135,0.8622930645942688,0.7193073034286499
48,0.8641122579574585,0.9421004056930542,0.3077886402606964,0.856596052646637,0.8749984502792358,0.8078745603561401,0.9014987945556641,0.5464985966682434,0.8627314567565918,0.7302965521812439
49,0.8654922246932983,0.9434558749198914,0.3043754994869232,0.8585708141326904,0.875486433506012,0.8095232248306274,0.9020682573318481,0.5386546850204468,0.8596742153167725,0.7378516793251038
